dt,account,province,group,total_outbound_count,black_outbound_count,total_pickup_count,black_pickup_count,total_pay_count,black_pay_count
2025-12-10,baotai27,宁夏,31,718,718,11,11,0,0
2025-12-10,weiqianbao555,福建,31,56643,56643,181,181,0,0
2025-12-10,jixianghua888,江西,未触发黑名单部分,1167,0,48,0,0,0
2025-12-10,zhongandai666,广东,未触发黑名单部分,26333,0,2331,0,0,0
2025-12-10,baotai27,宁夏,未触发黑名单部分,36062,0,2704,0,4,0
2025-12-10,haofenqi888,天津,31,2377,2377,7,7,0,0
2025-12-10,jirong888,广东,31,12655,12655,56,56,0,0
2025-12-10,haofenqi888,辽宁,未触发黑名单部分,24038,0,580,0,0,0
2025-12-10,weiqianbao661,海南,未触发黑名单部分,16799,0,668,0,1,0
2025-12-10,zhongandai666,天津,31,343,343,2,2,0,0
2025-12-10,huirong888,内蒙古,未触发黑名单部分,71,0,0,0,0,0
2025-12-10,baotai52,宁夏,未触发黑名单部分,1399,0,182,0,0,0
2025-12-10,langshun08,安徽,未触发黑名单部分,15356,0,1055,0,0,0
2025-12-10,baotai10,天津,31,2480,2480,10,10,0,0
2025-12-10,haihua888,陕西,31,471,471,6,6,0,0
2025-12-10,zhongandai999,四川,未触发黑名单部分,158332,0,16414,0,0,0
2025-12-10,yinni999,未知,未触发黑名单部分,1500,0,154,0,0,0
2025-12-10,shuxunda01,江苏,31,802,802,3,3,0,0
2025-12-10,yuedaibao666,贵州,31,2687,2687,7,7,0,0
2025-12-10,fenqile888,青海,31,311,311,1,1,0,0
2025-12-10,fenqile888,浙江,未触发黑名单部分,16713,0,641,0,0,0
2025-12-10,zhongandai666,山西,31,1298,1298,12,12,0,0
2025-12-10,baotai18,江苏,未触发黑名单部分,10877,0,1453,0,0,0
2025-12-10,baotai52,吉林,未触发黑名单部分,2420,0,335,0,0,0
2025-12-10,haozhouzhuan888,海南,未触发黑名单部分,41,0,1,0,0,0
2025-12-10,,辽宁,31,0,0,0,0,0,0
2025-12-10,haofenqi888,新疆,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,miduoduo888,福建,31,78100,78100,430,430,1,1
2025-12-10,haihua888,广西,31,0,0,0,0,0,0
2025-12-10,taoyirong999,四川,未触发黑名单部分,108752,0,4245,0,0,0
2025-12-10,yunshenghua888,山东,31,73698,73698,297,297,0,0
2025-12-10,baotai27,黑龙江,未触发黑名单部分,13,0,0,0,0,0
2025-12-10,baotai27,广西,未触发黑名单部分,282507,0,13858,0,33,0
2025-12-10,taoyirong999,四川,31,44844,44844,63,63,0,0
2025-12-10,weiqianbao555,山东,未触发黑名单部分,160169,0,7834,0,0,0
2025-12-10,baotai10,河南,未触发黑名单部分,114674,0,9259,0,0,0
2025-12-10,baotai10,山东,31,12293,12293,114,114,0,0
2025-12-10,miduoduo888,新疆,未触发黑名单部分,0,0,0,0,1,0
2025-12-10,kaishi01,黑龙江,未触发黑名单部分,1,0,0,0,0,0
2025-12-10,haozhouzhuan888,安徽,未触发黑名单部分,105174,0,2233,0,1,0
2025-12-10,weiqianbao333,浙江,未触发黑名单部分,27372,0,1462,0,2,0
2025-12-10,shuxunda01,江西,未触发黑名单部分,5101,0,704,0,0,0
2025-12-10,meixin888,吉林,未触发黑名单部分,8097,0,497,0,0,0
2025-12-10,haofenqi888,广西,未触发黑名单部分,19,0,2,0,0,0
2025-12-10,jiuwuhua888,重庆,未触发黑名单部分,17829,0,1202,0,1,0
2025-12-10,taoyirong999,安徽,31,16765,16765,36,36,0,0
2025-12-10,fenqile888,辽宁,31,2237,2237,11,11,0,0
2025-12-10,youqian888,安徽,31,890,890,3,3,0,0
2025-12-10,haihua888,吉林,未触发黑名单部分,7,0,0,0,0,0
2025-12-10,haozhouzhuan888,新疆,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,weiqianbao661,浙江,未触发黑名单部分,47569,0,4811,0,3,0
2025-12-10,baotai27,山西,31,4126,4126,29,29,1,1
2025-12-10,baotai18,福建,未触发黑名单部分,2132,0,418,0,0,0
2025-12-10,baotai10,湖北,未触发黑名单部分,72033,0,5491,0,0,0
2025-12-10,weiqianbao555,河南,31,54750,54750,174,174,0,0
2025-12-10,miduoduo888,黑龙江,31,24372,24372,74,74,0,0
2025-12-10,haihua888,山西,31,213,213,0,0,0,0
2025-12-10,weiqianbao888,广西,未触发黑名单部分,54995,0,2581,0,0,0
2025-12-10,fenqile888,上海,未触发黑名单部分,6020,0,91,0,0,0
2025-12-10,jirong888,黑龙江,未触发黑名单部分,15946,0,853,0,0,0
2025-12-10,zhongandai999,陕西,未触发黑名单部分,94551,0,8626,0,2,0
2025-12-10,meixin888,云南,31,8636,8636,18,18,0,0
2025-12-10,meixin888,吉林,31,4064,4064,11,11,0,0
2025-12-10,haozhouzhuan888,云南,31,4,4,0,0,0,0
2025-12-10,haofenqi888,江苏,未触发黑名单部分,65153,0,1475,0,0,0
2025-12-10,zhongandai666,内蒙古,未触发黑名单部分,4150,0,398,0,0,0
2025-12-10,langshun08,辽宁,未触发黑名单部分,15,0,3,0,0,0
2025-12-10,YSH,黑龙江,31,1,1,0,0,0,0
2025-12-10,baotai18,甘肃,未触发黑名单部分,1217,0,180,0,0,0
2025-12-10,weiqianbao333,宁夏,31,2753,2753,11,11,0,0
2025-12-10,fenqile888,吉林,31,2115,2115,7,7,0,0
2025-12-10,haofenqi888,福建,未触发黑名单部分,36920,0,825,0,0,0
